year,value
188001,-0.06
188002,-0.14
188003,-0.09
188004,-0.04
188005,-0.09
188006,-0.13
188007,-0.12
188008,-0.06
188009,-0.1
188010,-0.23
188011,-0.23
188012,-0.09
188101,-0.07
188102,-0.06
188103,0.05
188104,0.07
188105,0.03
188106,-0.12
188107,-0.06
188108,-0.06
188109,-0.17
188110,-0.29
188111,-0.26
188112,-0.03
188201,0.12
188202,0.02
188203,-0.02
188204,-0.14
188205,-0.12
188206,-0.13
188207,-0.12
188208,-0.07
188209,-0.11
188210,-0.21
188211,-0.16
188212,-0.17
188301,-0.24
188302,-0.32
188303,-0.17
188304,-0.21
188305,-0.16
188306,0
188307,-0.1
188308,-0.11
188309,-0.17
188310,-0.22
188311,-0.22
188312,-0.12
188401,-0.22
188402,-0.18
188403,-0.28
188404,-0.28
188405,-0.22
188406,-0.26
188407,-0.32
188408,-0.28
188409,-0.28
188410,-0.25
188411,-0.31
188412,-0.21
188501,-0.44
188502,-0.29
188503,-0.24
188504,-0.28
188505,-0.3
188506,-0.31
188507,-0.25
188508,-0.29
188509,-0.26
188510,-0.19
188511,-0.14
188512,0.02
188601,-0.17
188602,-0.32
188603,-0.25
188604,-0.18
188605,-0.18
188606,-0.25
188607,-0.2
188608,-0.26
188609,-0.27
188610,-0.31
188611,-0.27
188612,-0.16
188701,-0.52
188702,-0.46
188703,-0.22
188704,-0.26
188705,-0.25
188706,-0.25
188707,-0.24
188708,-0.32
188709,-0.22
188710,-0.33
188711,-0.18
188712,-0.17
188801,-0.32
188802,-0.26
188803,-0.29
188804,-0.12
188805,-0.15
188806,-0.11
188807,-0.11
188808,-0.16
188809,-0.09
188810,0.04
188811,-0.03
188812,0.08
188901,-0.02
188902,0.03
188903,0.14
188904,0.09
188905,-0.02
188906,-0.07
188907,-0.11
188908,-0.14
188909,-0.23
188910,-0.24
188911,-0.28
188912,-0.14
189001,-0.32
189002,-0.33
189003,-0.31
189004,-0.27
189005,-0.38
189006,-0.29
189007,-0.27
189008,-0.38
189009,-0.42
189010,-0.35
189011,-0.44
189012,-0.28
189101,-0.39
189102,-0.53
189103,-0.23
189104,-0.24
189105,-0.17
189106,-0.19
189107,-0.18
189108,-0.21
189109,-0.15
189110,-0.28
189111,-0.39
189112,-0.06
189201,-0.22
189202,-0.12
189203,-0.24
189204,-0.33
189205,-0.26
189206,-0.29
189207,-0.38
189208,-0.33
189209,-0.21
189210,-0.27
189211,-0.47
189212,-0.44
189301,-0.71
189302,-0.61
189303,-0.23
189304,-0.35
189305,-0.32
189306,-0.26
189307,-0.2
189308,-0.3
189309,-0.22
189310,-0.24
189311,-0.18
189312,-0.25
189401,-0.41
189402,-0.24
189403,-0.27
189404,-0.39
189405,-0.34
189406,-0.37
189407,-0.29
189408,-0.29
189409,-0.26
189410,-0.29
189411,-0.34
189412,-0.24
189501,-0.42
189502,-0.39
189503,-0.32
189504,-0.18
189505,-0.27
189506,-0.28
189507,-0.2
189508,-0.23
189509,-0.16
189510,-0.11
189511,-0.17
189512,-0.12
189601,-0.15
189602,-0.11
189603,-0.22
189604,-0.24
189605,-0.13
189606,-0.09
189607,-0.03
189608,-0.04
189609,-0.04
189610,0.02
189611,-0.15
189612,0.07
189701,-0.12
189702,-0.09
189703,-0.11
189704,0.06
189705,0.01
189706,-0.07
189707,-0.01
189708,-0.08
189709,-0.05
189710,-0.17
189711,-0.24
189712,-0.23
189801,0
189802,-0.28
189803,-0.65
189804,-0.38
189805,-0.27
189806,-0.19
189807,-0.23
189808,-0.23
189809,-0.22
189810,-0.38
189811,-0.31
189812,-0.1
189901,-0.13
189902,-0.32
189903,-0.32
189904,-0.18
189905,-0.17
189906,-0.26
189907,-0.17
189908,-0.1
189909,-0.04
189910,-0.09
189911,0.11
189912,-0.18
190001,-0.32
190002,-0.06
190003,-0.03
190004,-0.09
190005,-0.06
190006,-0.04
190007,-0.09
190008,-0.07
190009,-0.06
190010,0.08
190011,-0.13
190012,0.02
190101,-0.13
190102,-0.08
190103,-0.03
190104,-0.06
190105,-0.11
190106,-0.08
190107,-0.13
190108,-0.18
190109,-0.25
190110,-0.32
190111,-0.2
190112,-0.27
190201,-0.11
190202,-0.05
190203,-0.22
190204,-0.27
190205,-0.29
190206,-0.3
190207,-0.27
190208,-0.29
190209,-0.28
190210,-0.31
190211,-0.34
190212,-0.37
190301,-0.23
190302,-0.09
190303,-0.25
190304,-0.36
190305,-0.41
190306,-0.38
190307,-0.39
190308,-0.44
190309,-0.46
190310,-0.51
190311,-0.48
190312,-0.47
190401,-0.6
190402,-0.57
190403,-0.57
190404,-0.5
190405,-0.45
190406,-0.44
190407,-0.49
190408,-0.44
190409,-0.48
190410,-0.42
190411,-0.15
190412,-0.3
190501,-0.35
190502,-0.63
190503,-0.39
190504,-0.4
190505,-0.26
190506,-0.24
190507,-0.23
190508,-0.19
190509,-0.21
190510,-0.25
190511,-0.07
190512,-0.08
190601,-0.14
190602,-0.23
190603,-0.17
190604,-0.06
190605,-0.22
190606,-0.15
190607,-0.21
190608,-0.23
190609,-0.28
190610,-0.28
190611,-0.34
190612,-0.15
190701,-0.37
190702,-0.48
190703,-0.31
190704,-0.36
190705,-0.46
190706,-0.37
190707,-0.33
190708,-0.32
190709,-0.35
190710,-0.29
190711,-0.48
190712,-0.42
190801,-0.37
190802,-0.36
190803,-0.58
190804,-0.44
190805,-0.38
190806,-0.37
190807,-0.37
190808,-0.45
190809,-0.37
190810,-0.5
190811,-0.5
190812,-0.41
190901,-0.58
190902,-0.46
190903,-0.5
190904,-0.6
190905,-0.49
190906,-0.46
190907,-0.47
190908,-0.32
190909,-0.34
190910,-0.36
190911,-0.28
190912,-0.42
191001,-0.35
191002,-0.4
191003,-0.51
191004,-0.37
191005,-0.31
191006,-0.34
191007,-0.31
191008,-0.35
191009,-0.36
191010,-0.43
191011,-0.48
191012,-0.57
191101,-0.54
191102,-0.57
191103,-0.59
191104,-0.54
191105,-0.52
191106,-0.48
191107,-0.46
191108,-0.44
191109,-0.4
191110,-0.31
191111,-0.24
191112,-0.2
191201,-0.27
191202,-0.13
191203,-0.32
191204,-0.2
191205,-0.2
191206,-0.22
191207,-0.35
191208,-0.46
191209,-0.53
191210,-0.54
191211,-0.42
191212,-0.4
191301,-0.35
191302,-0.42
191303,-0.46
191304,-0.38
191305,-0.4
191306,-0.38
191307,-0.31
191308,-0.29
191309,-0.34
191310,-0.31
191311,-0.16
191312,-0.04
191401,0.11
191402,-0.11
191403,-0.18
191404,-0.25
191405,-0.15
191406,-0.19
191407,-0.22
191408,-0.2
191409,-0.21
191410,-0.1
191411,-0.09
191412,-0.09
191501,-0.15
191502,0
191503,-0.09
191504,0.04
191505,-0.06
191506,-0.14
191507,-0.07
191508,-0.12
191509,-0.17
191510,-0.23
191511,-0.03
191512,-0.11
191601,-0.13
191602,-0.17
191603,-0.28
191604,-0.26
191605,-0.32
191606,-0.4
191607,-0.33
191608,-0.32
191609,-0.33
191610,-0.28
191611,-0.44
191612,-0.63
191701,-0.53
191702,-0.58
191703,-0.64
191704,-0.47
191705,-0.57
191706,-0.4
191707,-0.2
191708,-0.17
191709,-0.11
191710,-0.33
191711,-0.22
191712,-0.55
191801,-0.33
191802,-0.38
191803,-0.31
191804,-0.44
191805,-0.46
191806,-0.35
191807,-0.3
191808,-0.31
191809,-0.2
191810,-0.11
191811,-0.13
191812,-0.35
191901,-0.24
191902,-0.12
191903,-0.23
191904,-0.06
191905,-0.25
191906,-0.28
191907,-0.25
191908,-0.3
191909,-0.24
191910,-0.24
191911,-0.4
191912,-0.41
192001,-0.21
192002,-0.33
192003,-0.09
192004,-0.19
192005,-0.17
192006,-0.26
192007,-0.24
192008,-0.24
192009,-0.18
192010,-0.23
192011,-0.24
192012,-0.43
192101,-0.08
192102,-0.18
192103,-0.26
192104,-0.21
192105,-0.24
192106,-0.17
192107,-0.13
192108,-0.23
192109,-0.14
192110,-0.06
192111,-0.17
192112,-0.1
192201,-0.31
192202,-0.32
192203,-0.11
192204,-0.16
192205,-0.31
192206,-0.27
192207,-0.25
192208,-0.3
192209,-0.32
192210,-0.28
192211,-0.16
192212,-0.2
192301,-0.24
192302,-0.43
192303,-0.33
192304,-0.39
192305,-0.28
192306,-0.24
192307,-0.3
192308,-0.33
192309,-0.29
192310,-0.19
192311,-0.03
192312,-0.01
192401,-0.22
192402,-0.19
192403,-0.09
192404,-0.23
192405,-0.15
192406,-0.2
192407,-0.23
192408,-0.31
192409,-0.29
192410,-0.31
192411,-0.29
192412,-0.41
192501,-0.41
192502,-0.39
192503,-0.24
192504,-0.18
192505,-0.22
192506,-0.24
192507,-0.21
192508,-0.16
192509,-0.14
192510,-0.17
192511,0.05
192512,0.11
192601,0.13
192602,0.03
192603,0.05
192604,-0.14
192605,-0.12
192606,-0.11
192607,-0.19
192608,-0.1
192609,-0.11
192610,-0.07
192611,-0.07
192612,-0.21
192701,-0.23
192702,-0.2
192703,-0.3
192704,-0.25
192705,-0.22
192706,-0.19
192707,-0.13
192708,-0.15
192709,-0.07
192710,0.01
192711,-0.05
192712,-0.28
192801,-0.08
192802,-0.16
192803,-0.26
192804,-0.24
192805,-0.21
192806,-0.27
192807,-0.16
192808,-0.2
192809,-0.17
192810,-0.16
192811,-0.09
192812,-0.18
192901,-0.49
192902,-0.57
192903,-0.3
192904,-0.33
192905,-0.31
192906,-0.35
192907,-0.33
192908,-0.24
192909,-0.22
192910,-0.14
192911,-0.11
192912,-0.52
193001,-0.34
193002,-0.23
193003,-0.08
193004,-0.21
193005,-0.18
193006,-0.13
193007,-0.09
193008,-0.09
193009,-0.1
193010,-0.02
193011,0.16
193012,0.01
193101,-0.03
193102,-0.22
193103,-0.01
193104,-0.13
193105,-0.14
193106,-0.02
193107,-0.01
193108,0.01
193109,0.01
193110,0.04
193111,-0.12
193112,-0.08
193201,0.15
193202,-0.17
193203,-0.19
193204,-0.03
193205,-0.16
193206,-0.19
193207,-0.15
193208,-0.19
193209,-0.08
193210,-0.09
193211,-0.21
193212,-0.22
193301,-0.28
193302,-0.32
193303,-0.27
193304,-0.21
193305,-0.23
193306,-0.25
193307,-0.2
193308,-0.21
193309,-0.25
193310,-0.19
193311,-0.24
193312,-0.4
193401,-0.3
193402,-0.08
193403,-0.32
193404,-0.27
193405,-0.06
193406,-0.03
193407,-0.07
193408,-0.04
193409,-0.12
193410,-0.03
193411,0.03
193412,-0.02
193501,-0.28
193502,0.17
193503,-0.15
193504,-0.29
193505,-0.22
193506,-0.19
193507,-0.15
193508,-0.15
193509,-0.13
193510,-0.03
193511,-0.26
193512,-0.15
193601,-0.26
193602,-0.3
193603,-0.17
193604,-0.17
193605,-0.11
193606,-0.14
193607,-0.05
193608,-0.08
193609,-0.07
193610,-0.01
193611,-0.01
193612,0
193701,-0.18
193702,0.03
193703,-0.18
193704,-0.13
193705,-0.02
193706,0.03
193707,0
193708,0.08
193709,0.15
193710,0.1
193711,0.08
193712,-0.07
193801,0.02
193802,-0.01
193803,0.04
193804,0.08
193805,-0.03
193806,-0.11
193807,-0.07
193808,-0.05
193809,0.01
193810,0.08
193811,0.02
193812,-0.2
193901,-0.11
193902,-0.09
193903,-0.17
193904,-0.1
193905,-0.02
193906,0
193907,0
193908,0.05
193909,0.01
193910,0
193911,0.09
193912,0.5
194001,0.01
194002,0.13
194003,0.1
194004,0.19
194005,0.14
194006,0.13
194007,0.16
194008,0.13
194009,0.2
194010,0.16
194011,0.21
194012,0.36
194101,0.27
194102,0.34
194103,0.18
194104,0.28
194105,0.28
194106,0.25
194107,0.28
194108,0.24
194109,0.14
194110,0.42
194111,0.32
194112,0.26
194201,0.29
194202,0.06
194203,0.14
194204,0.16
194205,0.14
194206,0.16
194207,0.03
194208,0
194209,0.04
194210,0.07
194211,0.09
194212,0.11
194301,-0.03
194302,0.11
194303,-0.03
194304,0.11
194305,0.1
194306,-0.02
194307,0.1
194308,0.07
194309,0.1
194310,0.26
194311,0.2
194312,0.3
194401,0.39
194402,0.27
194403,0.34
194404,0.25
194405,0.25
194406,0.3
194407,0.31
194408,0.27
194409,0.37
194410,0.32
194411,0.13
194412,0.12
194501,0.17
194502,0.05
194503,0.1
194504,0.29
194505,0.18
194506,0.14
194507,0.14
194508,0.36
194509,0.26
194510,0.28
194511,0.19
194512,-0.01
194601,0.25
194602,0.14
194603,0.02
194604,0.16
194605,-0.02
194606,-0.14
194607,-0.07
194608,-0.11
194609,-0.02
194610,0
194611,-0.03
194612,-0.28
194701,-0.16
194702,-0.07
194703,0.03
194704,0.06
194705,-0.01
194706,0.03
194707,-0.03
194708,-0.07
194709,-0.11
194710,0.05
194711,0
194712,-0.13
194801,0.07
194802,-0.09
194803,-0.18
194804,-0.05
194805,0.07
194806,0
194807,-0.05
194808,-0.04
194809,-0.1
194810,-0.06
194811,-0.07
194812,-0.11
194901,0.12
194902,-0.14
194903,-0.05
194904,-0.02
194905,-0.02
194906,-0.16
194907,-0.09
194908,-0.07
194909,-0.11
194910,-0.06
194911,-0.08
194912,-0.18
195001,-0.28
195002,-0.23
195003,-0.1
195004,-0.17
195005,-0.04
195006,-0.04
195007,-0.09
195008,-0.12
195009,-0.07
195010,-0.16
195011,-0.34
195012,-0.15
195101,-0.28
195102,-0.39
195103,-0.15
195104,-0.08
195105,0.08
195106,0.05
195107,0.12
195108,0.12
195109,0.17
195110,0.13
195111,0.03
195112,0.22
195201,0.13
195202,0.11
195203,-0.01
195204,0.09
195205,0.05
195206,0.05
195207,0.07
195208,0.07
195209,0.11
195210,0.01
195211,-0.15
195212,0.02
195301,0.09
195302,0.18
195303,0.2
195304,0.24
195305,0.18
195306,0.18
195307,0.11
195308,0.11
195309,0.1
195310,0.12
195311,-0.02
195312,0.09
195401,-0.2
195402,-0.06
195403,-0.09
195404,-0.13
195405,-0.17
195406,-0.1
195407,-0.13
195408,-0.1
195409,-0.05
195410,-0.05
195411,0.05
195412,-0.18
195501,0.14
195502,-0.1
195503,-0.3
195504,-0.23
195505,-0.14
195506,-0.11
195507,-0.11
195508,-0.02
195509,-0.08
195510,-0.12
195511,-0.23
195512,-0.26
195601,-0.14
195602,-0.24
195603,-0.18
195604,-0.27
195605,-0.24
195606,-0.14
195607,-0.12
195608,-0.17
195609,-0.21
195610,-0.19
195611,-0.16
195612,-0.12
195701,-0.09
195702,-0.07
195703,-0.05
195704,0.02
195705,0.13
195706,0.17
195707,0.1
195708,0.16
195709,0.13
195710,0.03
195711,0.11
195712,0.21
195801,0.32
195802,0.22
195803,0.15
195804,0.1
195805,0.09
195806,0.08
195807,0.09
195808,0.09
195809,0.05
195810,0.07
195811,0.07
195812,0.15
195901,0.15
195902,0.08
195903,0.21
195904,0.12
195905,0.06
195906,0.11
195907,0.08
195908,0.07
195909,0.11
195910,0
195911,-0.06
195912,0.01
196001,0.04
196002,0.21
196003,-0.18
196004,-0.06
196005,-0.05
196006,0.09
196007,0.06
196008,0.09
196009,0.11
196010,0.06
196011,-0.04
196012,0.27
196101,0.13
196102,0.2
196103,0.17
196104,0.15
196105,0.17
196106,0.15
196107,0.07
196108,0.05
196109,0.04
196110,-0.02
196111,0.04
196112,-0.01
196201,0.12
196202,0.17
196203,0.16
196204,0.1
196205,0.07
196206,0.03
196207,0.12
196208,0.07
196209,0.1
196210,0.12
196211,0.09
196212,0.11
196301,0.06
196302,0.27
196303,-0.02
196304,0.02
196305,0.03
196306,0.04
196307,0.13
196308,0.18
196309,0.18
196310,0.22
196311,0.21
196312,0.09
196401,0.01
196402,-0.07
196403,-0.16
196404,-0.21
196405,-0.09
196406,-0.07
196407,-0.08
196408,-0.16
196409,-0.19
196410,-0.25
196411,-0.21
196412,-0.25
196501,-0.07
196502,-0.19
196503,-0.09
196504,-0.18
196505,-0.08
196506,-0.04
196507,-0.07
196508,-0.05
196509,-0.03
196510,0.02
196511,-0.07
196512,-0.01
196601,-0.06
196602,-0.03
196603,0.01
196604,-0.08
196605,-0.04
196606,0.07
196607,0.1
196608,0.05
196609,0.02
196610,-0.07
196611,-0.03
196612,-0.09
196701,-0.1
196702,-0.18
196703,0.02
196704,0
196705,0.15
196706,-0.03
196707,0
196708,0.01
196709,-0.03
196710,0.15
196711,-0.01
196712,-0.03
196801,-0.2
196802,-0.12
196803,0.15
196804,-0.07
196805,-0.09
196806,-0.03
196807,-0.02
196808,0.01
196809,0
196810,0.05
196811,0.01
196812,-0.03
196901,-0.09
196902,-0.08
196903,0.12
196904,0.18
196905,0.19
196906,0.08
196907,0.1
196908,0.11
196909,0.09
196910,0.09
196911,0.2
196912,0.28
197001,0.14
197002,0.24
197003,0.06
197004,0.13
197005,0.05
197006,0.04
197007,0.02
197008,0.02
197009,0.04
197010,-0.02
197011,0.04
197012,-0.08
197101,0.01
197102,-0.19
197103,-0.11
197104,-0.1
197105,-0.08
197106,-0.12
197107,-0.04
197108,-0.04
197109,-0.04
197110,-0.08
197111,0.02
197112,-0.05
197201,-0.25
197202,-0.15
197203,0.03
197204,0.07
197205,0.02
197206,0.07
197207,0.07
197208,0.1
197209,0.03
197210,0.1
197211,0.08
197212,0.26
197301,0.28
197302,0.41
197303,0.37
197304,0.29
197305,0.23
197306,0.24
197307,0.16
197308,0.12
197309,0.1
197310,0.07
197311,0.03
197312,0.03
197401,-0.19
197402,-0.24
197403,-0.03
197404,-0.05
197405,-0.02
197406,-0.03
197407,0.02
197408,0.04
197409,-0.01
197410,-0.07
197411,-0.07
197412,-0.1
197501,0.11
197502,0.06
197503,0.12
197504,0.08
197505,0.08
197506,0.06
197507,0.03
197508,-0.04
197509,0.04
197510,-0.12
197511,-0.16
197512,-0.1
197601,-0.02
197602,-0.12
197603,-0.22
197604,-0.01
197605,-0.12
197606,-0.08
197607,-0.07
197608,-0.05
197609,-0.02
197610,-0.19
197611,-0.03
197612,0.1
197701,0.13
197702,0.26
197703,0.31
197704,0.29
197705,0.26
197706,0.27
197707,0.19
197708,0.15
197709,0.19
197710,0.12
197711,0.25
197712,0.11
197801,0.16
197802,0.15
197803,0.23
197804,0.13
197805,0.08
197806,0.05
197807,0.07
197808,0.01
197809,0.09
197810,0.07
197811,0.2
197812,0.14
197901,0.15
197902,0.05
197903,0.23
197904,0.11
197905,0.17
197906,0.21
197907,0.2
197908,0.24
197909,0.26
197910,0.29
197911,0.29
197912,0.52
198001,0.33
198002,0.39
198003,0.28
198004,0.32
198005,0.37
198006,0.26
198007,0.23
198008,0.21
198009,0.2
198010,0.18
198011,0.31
198012,0.27
198101,0.51
198102,0.4
198103,0.44
198104,0.35
198105,0.27
198106,0.3
198107,0.25
198108,0.24
198109,0.18
198110,0.18
198111,0.27
198112,0.48
198201,0.14
198202,0.19
198203,0.1
198204,0.22
198205,0.21
198206,0.14
198207,0.16
198208,0.14
198209,0.24
198210,0.18
198211,0.15
198212,0.43
198301,0.53
198302,0.49
198303,0.43
198304,0.29
198305,0.31
198306,0.3
198307,0.3
198308,0.36
198309,0.34
198310,0.24
198311,0.44
198312,0.27
198401,0.3
198402,0.18
198403,0.3
198404,0.14
198405,0.31
198406,0.14
198407,0.15
198408,0.19
198409,0.18
198410,0.14
198411,0.06
198412,-0.08
198501,0.22
198502,0.06
198503,0.2
198504,0.15
198505,0.21
198506,0.15
198507,0.1
198508,0.16
198509,0.14
198510,0.14
198511,0.13
198512,0.22
198601,0.31
198602,0.3
198603,0.3
198604,0.26
198605,0.27
198606,0.24
198607,0.17
198608,0.2
198609,0.18
198610,0.22
198611,0.16
198612,0.22
198701,0.32
198702,0.5
198703,0.27
198704,0.3
198705,0.36
198706,0.33
198707,0.44
198708,0.4
198709,0.45
198710,0.35
198711,0.35
198712,0.53
198801,0.56
198802,0.44
198803,0.53
198804,0.46
198805,0.41
198806,0.4
198807,0.37
198808,0.34
198809,0.34
198810,0.31
198811,0.21
198812,0.34
198901,0.17
198902,0.3
198903,0.35
198904,0.29
198905,0.28
198906,0.26
198907,0.32
198908,0.32
198909,0.31
198910,0.29
198911,0.23
198912,0.4
199001,0.36
199002,0.41
199003,0.76
199004,0.53
199005,0.47
199006,0.42
199007,0.39
199008,0.39
199009,0.33
199010,0.43
199011,0.47
199012,0.42
199101,0.43
199102,0.46
199103,0.37
199104,0.52
199105,0.4
199106,0.49
199107,0.42
199108,0.37
199109,0.35
199110,0.29
199111,0.3
199112,0.28
199201,0.46
199202,0.43
199203,0.44
199204,0.31
199205,0.32
199206,0.27
199207,0.11
199208,0.11
199209,0.05
199210,0.05
199211,0.04
199212,0.25
199301,0.36
199302,0.38
199303,0.41
199304,0.31
199305,0.35
199306,0.33
199307,0.27
199308,0.22
199309,0.18
199310,0.22
199311,0.07
199312,0.27
199401,0.27
199402,0.08
199403,0.38
199404,0.36
199405,0.4
199406,0.4
199407,0.31
199408,0.3
199409,0.33
199410,0.42
199411,0.45
199412,0.42
199501,0.56
199502,0.73
199503,0.5
199504,0.45
199505,0.37
199506,0.46
199507,0.42
199508,0.5
199509,0.4
199510,0.44
199511,0.45
199512,0.33
199601,0.26
199602,0.46
199603,0.35
199604,0.27
199605,0.39
199606,0.35
199607,0.33
199608,0.34
199609,0.25
199610,0.21
199611,0.29
199612,0.38
199701,0.34
199702,0.44
199703,0.5
199704,0.42
199705,0.42
199706,0.53
199707,0.5
199708,0.55
199709,0.61
199710,0.64
199711,0.58
199712,0.63
199801,0.6
199802,0.87
199803,0.68
199804,0.77
199805,0.7
199806,0.73
199807,0.74
199808,0.71
199809,0.53
199810,0.48
199811,0.42
199812,0.59
199901,0.51
199902,0.7
199903,0.4
199904,0.47
199905,0.4
199906,0.42
199907,0.4
199908,0.36
199909,0.39
199910,0.34
199911,0.35
199912,0.53
200001,0.34
200002,0.56
200003,0.55
200004,0.63
200005,0.43
200006,0.39
200007,0.4
200008,0.46
200009,0.42
200010,0.32
200011,0.26
200012,0.33
200101,0.47
200102,0.41
200103,0.65
200104,0.59
200105,0.62
200106,0.55
200107,0.6
200108,0.61
200109,0.54
200110,0.52
200111,0.71
200112,0.57
200201,0.71
200202,0.79
200203,0.82
200204,0.58
200205,0.59
200206,0.6
200207,0.63
200208,0.56
200209,0.58
200210,0.49
200211,0.59
200212,0.49
200301,0.71
200302,0.59
200303,0.61
200304,0.58
200305,0.62
200306,0.55
200307,0.6
200308,0.66
200309,0.65
200310,0.74
200311,0.57
200312,0.76
200401,0.61
200402,0.74
200403,0.7
200404,0.6
200405,0.45
200406,0.48
200407,0.47
200408,0.52
200409,0.55
200410,0.6
200411,0.75
200412,0.51
200501,0.65
200502,0.55
200503,0.74
200504,0.72
200505,0.66
200506,0.67
200507,0.66
200508,0.63
200509,0.68
200510,0.68
200511,0.72
200512,0.63
200601,0.5
200602,0.7
200603,0.64
200604,0.52
200605,0.55
200606,0.66
200607,0.62
200608,0.65
200609,0.64
200610,0.68
200611,0.64
200612,0.8
200701,0.92
200702,0.69
200703,0.67
200704,0.73
200705,0.61
200706,0.55
200707,0.56
200708,0.56
200709,0.58
200710,0.56
200711,0.52
200712,0.47
200801,0.27
200802,0.37
200803,0.74
200804,0.49
200805,0.52
200806,0.54
200807,0.59
200808,0.57
200809,0.55
200810,0.67
200811,0.67
200812,0.54
200901,0.6
200902,0.55
200903,0.57
200904,0.63
200905,0.59
200906,0.67
200907,0.67
200908,0.72
200909,0.72
200910,0.64
200911,0.7
200912,0.65
201001,0.73
201002,0.8
201003,0.88
201004,0.85
201005,0.77
201006,0.75
201007,0.73
201008,0.69
201009,0.62
201010,0.63
201011,0.75
201012,0.46
201101,0.46
201102,0.45
201103,0.6
201104,0.62
201105,0.55
201106,0.64
201107,0.65
201108,0.65
201109,0.59
201110,0.61
201111,0.49
201112,0.55
201201,0.44
201202,0.45
201203,0.51
201204,0.73
201205,0.74
201206,0.72
201207,0.7
201208,0.7
201209,0.74
201210,0.7
201211,0.7
201212,0.47
201301,0.62
201302,0.66
201303,0.66
201304,0.59
201305,0.68
201306,0.69
201307,0.66
201308,0.68
201309,0.68
201310,0.66
201311,0.81
201312,0.67
201401,0.69
201402,0.48
201403,0.76
201404,0.8
201405,0.8
201406,0.77
201407,0.71
201408,0.82
201409,0.79
201410,0.75
201411,0.64
201412,0.81
201501,0.82
201502,0.86
201503,0.92
201504,0.81
201505,0.89
201506,0.91
201507,0.85
201508,0.91
201509,0.94
201510,1.03
201511,1
201512,1.15
201601,1.11
201602,1.26
201603,1.3
201604,1.12
201605,0.94
201606,0.93
201607,0.92
201608,0.97
201609,0.94
201610,0.79
201611,0.78
201612,0.83
201701,0.97
201702,1.02
201703,1.08
201704,0.92
201705,0.87
201706,0.84
201707,0.9
201708,0.92
201709,0.86
201710,0.81
201711,0.8
201712,0.87
201801,0.75
201802,0.76
201803,0.89
201804,0.84
201805,0.81
201806,0.78
201807,0.82
201808,0.79
201809,0.82
201810,0.92
201811,0.78
201812,0.88
201901,0.93
201902,0.85
201903,1.09
201904,0.97
201905,0.86
201906,0.95
201907,0.92
201908,0.92
201909,0.94
201910,0.94
201911,0.91
201912,1.04
202001,1.13
202002,1.16
202003,1.17
202004,1.04
202005,0.94
202006,0.92
202007,0.91
202008,0.93
202009,0.94
202010,0.83
202011,0.95
202012,0.78
202101,0.77
202102,0.64
202103,0.85
202104,0.79
202105,0.81
202106,0.89
202107,0.92
202108,0.89
202109,0.88
202110,0.88
202111,0.9
202112,0.83
202201,0.88
202202,0.8
202203,0.93
202204,0.85
202205,0.78
202206,0.88
202207,0.88
202208,0.9
202209,0.88